,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
2420,115.986,40.4563,100,42.0,2.0,23.0,5.0,0.8,52.0,train
2421,116.6151,40.3053,100,80.0,3.0,36.0,15.0,0.9,142.0,test
2422,116.2545,39.8768,100,116.0,3.0,70.0,1.0,1.3,126.0,train
2423,116.84,40.3844,100,93.0,4.0,34.0,16.0,0.8,146.0,test
2425,116.2202,40.2915,101,75.0,3.0,35.0,9.0,0.9,124.0,train
2428,116.462,39.9365,101,104.0,1.0,51.0,1.0,1.0,130.0,train
2431,116.6636,40.135,101,109.0,1.0,28.0,22.0,0.9,157.0,train
2432,116.6275,40.3275,101,95.0,3.0,31.0,15.0,0.9,136.0,train
2433,116.2296,40.217,101,121.0,3.0,51.0,2.0,1.0,153.0,train
2434,116.3966,39.9821,101,74.0,3.0,55.0,6.0,0.9,114.0,train
2436,115.9718,40.4529,101,49.0,3.0,18.0,15.0,0.6,58.0,train
2437,117.0709,40.1465,101,74.0,1.0,18.0,30.0,1.0,95.0,train
2438,116.8336,40.4095,101,97.0,3.0,28.0,23.0,0.8,132.0,train
2441,116.6804,39.9081,101,145.0,3.0,44.0,7.0,1.0,156.0,test
2442,115.9577,39.7603,101,85.0,3.0,65.0,2.0,1.0,81.0,train
2443,116.4672,39.7733,101,121.0,1.0,55.0,5.0,1.1,147.0,train
2444,115.986,40.4563,101,44.0,2.0,21.0,8.0,0.7,43.0,train
2445,116.6151,40.3053,101,88.0,3.0,31.0,18.0,0.9,146.0,train
2446,116.2545,39.8768,101,123.0,3.0,69.0,1.0,1.3,141.0,train
2447,116.84,40.3844,101,94.0,4.0,33.0,17.0,0.8,148.0,test
2449,116.2202,40.2915,102,73.0,3.0,29.0,10.0,0.9,120.0,train
2455,116.6636,40.135,102,109.0,1.0,31.0,19.0,1.0,158.0,train
2456,116.6275,40.3275,102,99.0,3.0,30.0,17.0,0.9,139.0,train
2457,116.2296,40.217,102,115.0,3.0,49.0,3.0,0.9,153.0,train
2458,116.3966,39.9821,102,64.0,3.0,54.0,7.0,0.9,118.0,test
2460,115.9718,40.4529,102,46.0,3.0,12.0,24.0,0.6,55.0,test
2461,117.0709,40.1465,102,71.0,3.0,16.0,31.0,0.9,91.0,train
2462,116.8336,40.4095,102,103.0,3.0,24.0,27.0,0.9,139.0,test
2465,116.6804,39.9081,102,144.0,3.0,44.0,5.0,1.0,148.0,train
2466,115.9577,39.7603,102,86.0,3.0,66.0,1.0,1.0,83.0,train
2467,116.4672,39.7733,102,131.0,1.0,56.0,1.0,1.1,147.0,test
2468,115.986,40.4563,102,41.0,2.0,24.0,6.0,0.7,39.0,train
2469,116.6151,40.3053,102,79.0,1.0,18.0,19.0,0.9,133.0,train
2470,116.2545,39.8768,102,121.0,3.0,70.0,1.0,1.2,141.0,train
2471,116.84,40.3844,102,108.0,4.0,35.0,15.0,0.9,152.0,train
2473,116.2202,40.2915,103,68.0,3.0,31.0,9.0,0.9,116.0,train
2476,116.462,39.9365,103,102.0,1.0,50.0,1.0,1.0,139.0,train
2479,116.6636,40.135,103,117.0,1.0,31.0,17.0,1.0,157.0,train
2480,116.6275,40.3275,103,77.0,3.0,26.0,16.0,0.9,131.0,train
2481,116.2296,40.217,103,102.0,3.0,43.0,5.0,0.9,153.0,train
2482,116.3966,39.9821,103,74.0,3.0,49.0,7.0,0.9,130.0,train
2484,115.9718,40.4529,103,52.0,3.0,20.0,17.0,0.6,54.0,train
2485,117.0709,40.1465,103,55.0,1.0,16.0,33.0,0.9,85.0,train
2486,116.8336,40.4095,103,102.0,3.0,19.0,32.0,0.8,144.0,train
2489,116.6804,39.9081,103,129.0,3.0,44.0,4.0,1.0,139.0,test
2490,115.9577,39.7603,103,76.0,3.0,58.0,1.0,1.0,81.0,train
2491,116.4672,39.7733,103,141.0,1.0,53.0,1.0,1.1,157.0,train
2492,115.986,40.4563,103,42.0,2.0,20.0,8.0,0.8,37.0,train
2493,116.6151,40.3053,103,81.0,1.0,20.0,19.0,0.9,136.0,test
2494,116.2545,39.8768,103,137.0,3.0,66.0,1.0,1.2,145.0,train
2495,116.84,40.3844,103,115.0,4.0,34.0,15.0,0.9,154.0,train
2496,116.3621,39.8784,104,96.0,2.0,57.0,2.0,1.0,126.0,train
2497,116.2202,40.2915,104,55.0,3.0,30.0,11.0,0.9,109.0,test
2498,116.4174,39.9289,104,86.0,1.0,56.0,4.0,1.3,103.0,train
2499,116.4072,39.8863,104,118.0,1.0,64.0,2.0,1.2,141.0,train
2500,116.462,39.9365,104,113.0,1.0,49.0,3.0,1.1,146.0,test
2502,116.2878,39.9611,104,80.0,1.0,55.0,1.0,1.0,111.0,train
2503,116.6636,40.135,104,120.0,1.0,30.0,17.0,0.9,153.0,test
2504,116.6275,40.3275,104,89.0,3.0,32.0,18.0,0.9,130.0,test
2505,116.2296,40.217,104,90.0,3.0,37.0,7.0,0.9,144.0,test
2506,116.3966,39.9821,104,86.0,3.0,44.0,11.0,0.9,134.0,train
2508,115.9718,40.4529,104,63.0,3.0,25.0,11.0,0.7,59.0,train
2509,117.0709,40.1465,104,47.0,1.0,16.0,30.0,0.9,79.0,train
2510,116.8336,40.4095,104,84.0,3.0,15.0,32.0,0.8,131.0,test
2511,116.088,39.9726,104,76.0,3.0,41.0,1.0,0.8,102.0,train
2513,116.6804,39.9081,104,141.0,3.0,42.0,7.0,1.1,139.0,train
2514,115.9577,39.7603,104,66.0,3.0,42.0,4.0,0.9,88.0,train
2515,116.4672,39.7733,104,124.0,1.0,50.0,4.0,1.1,156.0,test
2516,115.986,40.4563,104,58.0,2.0,24.0,6.0,0.9,39.0,test
2517,116.6151,40.3053,104,92.0,1.0,26.0,19.0,0.9,137.0,train
2518,116.2545,39.8768,104,122.0,3.0,59.0,2.0,1.3,140.0,train
2519,116.84,40.3844,104,103.0,4.0,32.0,20.0,0.9,145.0,train
2520,116.3621,39.8784,105,81.0,2.0,53.0,5.0,1.0,122.0,train
2521,116.2202,40.2915,105,54.0,3.0,31.0,20.0,0.9,112.0,train
2522,116.4174,39.9289,105,88.0,1.0,51.0,9.0,1.2,109.0,train
2523,116.4072,39.8863,105,81.0,1.0,59.0,7.0,1.2,135.0,train
2524,116.462,39.9365,105,91.0,1.0,48.0,7.0,1.1,138.0,train
2525,116.3392,39.9295,105,72.0,4.0,44.0,3.0,1.1,120.0,train
2526,116.2878,39.9611,105,79.0,1.0,49.0,5.0,0.9,115.0,test
2527,116.6636,40.135,105,110.0,1.0,30.0,20.0,1.0,147.0,train
2528,116.6275,40.3275,105,72.0,3.0,33.0,13.0,0.9,114.0,train
2529,116.2296,40.217,105,79.0,3.0,37.0,15.0,0.9,145.0,train
2530,116.3966,39.9821,105,96.0,3.0,44.0,14.0,0.9,147.0,train
2532,115.9718,40.4529,105,73.0,3.0,25.0,17.0,0.8,69.0,train
2533,117.0709,40.1465,105,39.0,3.0,17.0,23.0,0.9,68.0,train
2534,116.8336,40.4095,105,52.0,3.0,16.0,23.0,0.6,98.0,train
2535,116.088,39.9726,105,73.0,3.0,40.0,5.0,0.8,102.0,train
2536,116.1541,39.8204,105,94.0,3.0,56.0,2.0,1.0,87.0,train
2537,116.6804,39.9081,105,101.0,3.0,42.0,11.0,1.2,145.0,test
2538,115.9577,39.7603,105,64.0,3.0,40.0,8.0,0.9,94.0,train
2539,116.4672,39.7733,105,105.0,1.0,48.0,7.0,1.2,156.0,train
2540,115.986,40.4563,105,84.0,3.0,33.0,14.0,0.9,50.0,train
2541,116.6151,40.3053,105,82.0,1.0,28.0,18.0,0.9,128.0,train
2542,116.2545,39.8768,105,89.0,3.0,54.0,5.0,1.2,139.0,train
2543,116.84,40.3844,105,108.0,4.0,34.0,10.0,0.8,139.0,train
2544,116.3621,39.8784,106,78.0,1.0,46.0,12.0,0.9,129.0,train
2545,116.2202,40.2915,106,58.0,3.0,34.0,28.0,1.0,118.0,train
2546,116.4174,39.9289,106,112.0,1.0,51.0,10.0,1.3,120.0,train
2547,116.4072,39.8863,106,93.0,1.0,57.0,9.0,1.3,143.0,train
2548,116.462,39.9365,106,95.0,1.0,46.0,11.0,1.2,150.0,train
2549,116.3392,39.9295,106,85.0,4.0,38.0,8.0,1.1,135.0,train
2550,116.2878,39.9611,106,95.0,1.0,44.0,8.0,0.9,130.0,train
2551,116.6636,40.135,106,111.0,1.0,33.0,17.0,1.0,158.0,train
2552,116.6275,40.3275,106,79.0,3.0,23.0,27.0,0.8,129.0,train
2553,116.2296,40.217,106,79.0,3.0,34.0,19.0,1.0,148.0,test
2554,116.3966,39.9821,106,115.0,3.0,44.0,17.0,0.9,162.0,train
2555,116.184,39.9136,106,112.0,3.0,48.0,2.0,1.1,130.0,test
2556,115.9718,40.4529,106,88.0,1.0,35.0,22.0,0.8,71.0,train
2557,117.0709,40.1465,106,41.0,1.0,17.0,24.0,0.9,76.0,test
2558,116.8336,40.4095,106,88.0,3.0,16.0,28.0,0.7,131.0,test
2559,116.088,39.9726,106,74.0,3.0,39.0,9.0,0.9,109.0,train
2560,116.1541,39.8204,106,107.0,3.0,53.0,3.0,1.0,109.0,train
2561,116.6804,39.9081,106,108.0,3.0,40.0,13.0,1.2,155.0,train
2562,115.9577,39.7603,106,81.0,3.0,46.0,11.0,0.9,111.0,train
2563,116.4672,39.7733,106,103.0,3.0,47.0,9.0,1.2,162.0,test
2564,115.986,40.4563,106,68.0,3.0,30.0,34.0,0.8,63.0,test
2565,116.6151,40.3053,106,63.0,1.0,25.0,24.0,0.9,126.0,train
2566,116.2545,39.8768,106,82.0,3.0,50.0,8.0,1.1,139.0,train
2567,116.84,40.3844,106,128.0,4.0,30.0,14.0,0.8,137.0,train
2568,116.3621,39.8784,107,91.0,2.0,46.0,17.0,0.9,139.0,train
2569,116.2202,40.2915,107,70.0,3.0,31.0,32.0,1.0,122.0,train
2570,116.4174,39.9289,107,104.0,2.0,55.0,12.0,1.4,126.0,train
2571,116.4072,39.8863,107,92.0,1.0,60.0,13.0,1.3,147.0,train
2572,116.462,39.9365,107,125.0,1.0,47.0,11.0,1.2,168.0,train
2573,116.3392,39.9295,107,81.0,3.0,40.0,12.0,1.1,141.0,train
2574,116.2878,39.9611,107,108.0,1.0,42.0,12.0,0.9,141.0,train
2575,116.6636,40.135,107,114.0,1.0,39.0,20.0,1.3,166.0,train
2576,116.6275,40.3275,107,87.0,3.0,22.0,30.0,0.8,124.0,train
2577,116.2296,40.217,107,88.0,3.0,30.0,26.0,1.0,151.0,test
2578,116.3966,39.9821,107,100.0,3.0,45.0,21.0,0.9,165.0,train
2579,116.184,39.9136,107,87.0,3.0,47.0,8.0,1.0,127.0,train
2580,115.9718,40.4529,107,99.0,1.0,30.0,36.0,0.8,82.0,train
2581,117.0709,40.1465,107,51.0,1.0,18.0,32.0,0.9,87.0,test
2582,116.8336,40.4095,107,61.0,3.0,15.0,34.0,0.7,118.0,train
2583,116.088,39.9726,107,71.0,3.0,42.0,14.0,1.0,117.0,train
2584,116.1541,39.8204,107,102.0,3.0,51.0,8.0,1.0,116.0,train
2585,116.6804,39.9081,107,145.0,3.0,39.0,14.0,1.2,172.0,test
2586,115.9577,39.7603,107,96.0,3.0,55.0,15.0,1.0,129.0,train
2587,116.4672,39.7733,107,123.0,1.0,45.0,9.0,1.2,173.0,train
2588,115.986,40.4563,107,73.0,3.0,20.0,68.0,0.8,71.0,train
2589,116.6151,40.3053,107,94.0,1.0,23.0,29.0,0.8,130.0,train
2590,116.2545,39.8768,107,109.0,3.0,47.0,10.0,1.2,158.0,train
2591,116.84,40.3844,107,78.0,4.0,22.0,29.0,0.7,124.0,train
2592,116.3621,39.8784,108,102.0,1.0,50.0,19.0,1.0,150.0,train
2593,116.2202,40.2915,108,80.0,3.0,31.0,30.0,1.0,131.0,train
2594,116.4174,39.9289,108,133.0,2.0,56.0,12.0,1.4,142.0,train
2595,116.4072,39.8863,108,115.0,1.0,60.0,14.0,1.4,164.0,train
2596,116.462,39.9365,108,129.0,1.0,47.0,15.0,1.2,174.0,test
2597,116.3392,39.9295,108,104.0,3.0,44.0,11.0,1.2,157.0,train
2598,116.2878,39.9611,108,108.0,1.0,43.0,15.0,0.9,148.0,test
2599,116.6636,40.135,108,125.0,2.0,41.0,26.0,1.8,182.0,train
2600,116.6275,40.3275,108,84.0,3.0,23.0,37.0,0.8,130.0,train
2601,116.2296,40.217,108,81.0,3.0,30.0,29.0,1.0,154.0,train
2602,116.3966,39.9821,108,94.0,3.0,44.0,25.0,1.0,169.0,train
2603,116.184,39.9136,108,95.0,3.0,45.0,11.0,1.0,135.0,test
2604,115.9718,40.4529,108,87.0,2.0,12.0,91.0,0.6,99.0,train
2605,117.0709,40.1465,108,75.0,1.0,22.0,41.0,1.0,110.0,train
2606,116.8336,40.4095,108,59.0,3.0,16.0,46.0,0.7,120.0,test
2607,116.088,39.9726,108,73.0,3.0,46.0,16.0,1.0,126.0,train
2608,116.1541,39.8204,108,91.0,3.0,49.0,14.0,1.0,122.0,train
2609,116.6804,39.9081,108,166.0,3.0,40.0,16.0,1.3,188.0,train
2610,115.9577,39.7603,108,104.0,3.0,61.0,25.0,1.0,139.0,train
2611,116.4672,39.7733,108,138.0,1.0,46.0,11.0,1.2,186.0,train
2612,115.986,40.4563,108,87.0,4.0,14.0,93.0,0.8,93.0,train
2613,116.6151,40.3053,108,88.0,1.0,24.0,34.0,0.8,131.0,train
2614,116.2545,39.8768,108,122.0,3.0,45.0,14.0,1.3,171.0,train
2615,116.84,40.3844,108,67.0,4.0,21.0,41.0,0.7,122.0,train
2616,116.3621,39.8784,109,116.0,2.0,53.0,20.0,1.1,159.0,train
2617,116.2202,40.2915,109,75.0,3.0,27.0,42.0,1.1,134.0,train
2618,116.4174,39.9289,109,135.0,1.0,54.0,18.0,1.4,149.0,train
2619,116.4072,39.8863,109,141.0,1.0,62.0,17.0,1.5,175.0,train
2620,116.462,39.9365,109,135.0,1.0,47.0,20.0,1.3,181.0,train
2621,116.3392,39.9295,109,128.0,4.0,45.0,14.0,1.2,169.0,train
2622,116.2878,39.9611,109,102.0,1.0,45.0,18.0,0.9,146.0,train
2623,116.6636,40.135,109,149.0,2.0,46.0,29.0,2.1,194.0,train
2624,116.6275,40.3275,109,94.0,3.0,27.0,42.0,0.8,140.0,train
2625,116.2296,40.217,109,99.0,3.0,32.0,30.0,1.0,160.0,test
2626,116.3966,39.9821,109,97.0,3.0,44.0,30.0,1.0,173.0,test
2627,116.184,39.9136,109,79.0,1.0,49.0,14.0,1.0,130.0,train
2628,115.9718,40.4529,109,104.0,2.0,12.0,113.0,0.7,127.0,train
2629,117.0709,40.1465,109,94.0,1.0,25.0,49.0,1.2,131.0,test
2630,116.8336,40.4095,109,72.0,3.0,18.0,56.0,0.8,127.0,train
2631,116.088,39.9726,109,82.0,3.0,47.0,19.0,1.0,135.0,train
2632,116.1541,39.8204,109,103.0,3.0,51.0,17.0,1.0,131.0,train
2633,116.6804,39.9081,109,179.0,1.0,42.0,20.0,1.3,201.0,train
2634,115.9577,39.7603,109,111.0,3.0,62.0,27.0,1.0,141.0,train
2635,116.4672,39.7733,109,132.0,1.0,49.0,15.0,1.2,187.0,train
2636,115.986,40.4563,109,104.0,4.0,14.0,113.0,0.9,115.0,train
2637,116.6151,40.3053,109,96.0,1.0,27.0,40.0,0.9,139.0,train
2638,116.2545,39.8768,109,116.0,3.0,45.0,18.0,1.3,177.0,test
2639,116.84,40.3844,109,77.0,5.0,24.0,52.0,0.8,126.0,train
2640,116.3621,39.8784,110,118.0,2.0,53.0,28.0,1.1,163.0,train
2641,116.2202,40.2915,110,75.0,1.0,30.0,44.0,1.1,135.0,test
2642,116.4174,39.9289,110,137.0,2.0,54.0,25.0,1.4,153.0,train
2643,116.4072,39.8863,110,141.0,1.0,64.0,21.0,1.5,177.0,train
2644,116.462,39.9365,110,132.0,1.0,49.0,22.0,1.3,182.0,test
2645,116.3392,39.9295,110,128.0,4.0,47.0,20.0,1.2,172.0,train
2646,116.2878,39.9611,110,101.0,1.0,49.0,17.0,1.0,145.0,train
2647,116.6636,40.135,110,153.0,2.0,49.0,33.0,1.9,198.0,train
2648,116.6275,40.3275,110,115.0,3.0,33.0,47.0,0.9,158.0,train
2649,116.2296,40.217,110,111.0,3.0,38.0,28.0,1.1,165.0,train
2650,116.3966,39.9821,110,109.0,3.0,46.0,33.0,1.0,179.0,train
2651,116.184,39.9136,110,86.0,3.0,49.0,18.0,1.0,134.0,test
2652,115.9718,40.4529,110,113.0,1.0,13.0,120.0,0.8,136.0,train
2653,117.0709,40.1465,110,114.0,2.0,28.0,55.0,1.4,155.0,test
2654,116.8336,40.4095,110,95.0,3.0,21.0,63.0,0.8,140.0,train
2655,116.088,39.9726,110,85.0,3.0,47.0,25.0,1.0,139.0,train
2656,116.1541,39.8204,110,125.0,3.0,48.0,21.0,1.0,141.0,train
2657,116.6804,39.9081,110,188.0,1.0,43.0,27.0,1.3,207.0,train
2658,115.9577,39.7603,110,115.0,3.0,68.0,37.0,1.1,147.0,train
2659,116.4672,39.7733,110,128.0,1.0,49.0,22.0,1.2,191.0,train
2660,115.986,40.4563,110,102.0,3.0,15.0,121.0,1.0,124.0,train
2661,116.6151,40.3053,110,110.0,1.0,32.0,46.0,1.0,151.0,train
2662,116.2545,39.8768,110,113.0,3.0,48.0,22.0,1.2,173.0,train
2663,116.84,40.3844,110,101.0,5.0,28.0,53.0,0.9,138.0,train
2664,116.3621,39.8784,111,124.0,2.0,56.0,33.0,1.1,168.0,train
2665,116.2202,40.2915,111,96.0,3.0,34.0,39.0,1.1,140.0,test
2666,116.4174,39.9289,111,128.0,2.0,56.0,29.0,1.4,153.0,train
2667,116.4072,39.8863,111,139.0,1.0,69.0,24.0,1.5,181.0,train
2668,116.462,39.9365,111,134.0,1.0,51.0,24.0,1.3,181.0,train
2669,116.3392,39.9295,111,126.0,4.0,48.0,20.0,1.2,177.0,train
2670,116.2878,39.9611,111,99.0,1.0,51.0,24.0,1.0,145.0,test
2671,116.6636,40.135,111,155.0,2.0,53.0,35.0,2.0,204.0,train
2672,116.6275,40.3275,111,122.0,3.0,37.0,50.0,1.0,166.0,train
2673,116.2296,40.217,111,120.0,3.0,39.0,30.0,1.1,173.0,train
2674,116.3966,39.9821,111,126.0,3.0,45.0,35.0,1.0,185.0,train
2675,116.184,39.9136,111,87.0,3.0,51.0,23.0,1.1,137.0,train
2676,115.9718,40.4529,111,107.0,1.0,15.0,120.0,0.8,141.0,train
2677,117.0709,40.1465,111,129.0,3.0,36.0,58.0,1.8,176.0,train
2678,116.8336,40.4095,111,100.0,3.0,21.0,67.0,0.9,148.0,train
2679,116.088,39.9726,111,93.0,3.0,45.0,25.0,1.0,144.0,test
2680,116.1541,39.8204,111,124.0,3.0,53.0,22.0,1.1,150.0,test
2681,116.6804,39.9081,111,160.0,1.0,44.0,34.0,1.3,204.0,test
2682,115.9577,39.7603,111,118.0,3.0,72.0,36.0,1.1,148.0,train
2683,116.4672,39.7733,111,152.0,1.0,56.0,22.0,1.3,196.0,test
2684,115.986,40.4563,111,105.0,3.0,15.0,121.0,1.0,128.0,train
2685,116.6151,40.3053,111,125.0,2.0,43.0,42.0,1.3,172.0,train
2686,116.2545,39.8768,111,115.0,3.0,51.0,22.0,1.2,169.0,train
2687,116.84,40.3844,111,107.0,5.0,31.0,53.0,0.9,141.0,train
2688,116.3621,39.8784,112,130.0,2.0,62.0,28.0,1.2,171.0,test
2689,116.2202,40.2915,112,106.0,3.0,40.0,33.0,1.2,142.0,train
2690,116.4174,39.9289,112,131.0,2.0,64.0,20.0,1.4,153.0,test
2691,116.4072,39.8863,112,147.0,1.0,78.0,16.0,1.6,184.0,train
2692,116.462,39.9365,112,114.0,1.0,53.0,19.0,1.3,170.0,test
2693,116.3392,39.9295,112,138.0,4.0,55.0,15.0,1.2,176.0,train
2694,116.2878,39.9611,112,107.0,1.0,57.0,15.0,1.0,142.0,test
2695,116.6636,40.135,112,153.0,2.0,64.0,23.0,1.9,197.0,train
2696,116.6275,40.3275,112,119.0,3.0,39.0,48.0,1.1,171.0,train
2697,116.2296,40.217,112,119.0,3.0,45.0,25.0,1.2,175.0,train
2698,116.3966,39.9821,112,129.0,3.0,49.0,31.0,1.0,189.0,train
2699,116.184,39.9136,112,68.0,3.0,56.0,17.0,1.1,143.0,train
2700,115.9718,40.4529,112,118.0,3.0,16.0,112.0,0.9,152.0,test
2701,117.0709,40.1465,112,144.0,4.0,42.0,54.0,2.0,189.0,train
2702,116.8336,40.4095,112,114.0,3.0,26.0,62.0,0.9,159.0,test
2703,116.088,39.9726,112,100.0,3.0,48.0,18.0,1.0,148.0,train
2704,116.1541,39.8204,112,122.0,3.0,59.0,17.0,1.1,154.0,train
2705,116.6804,39.9081,112,156.0,1.0,50.0,29.0,1.4,204.0,train
2706,115.9577,39.7603,112,119.0,3.0,68.0,27.0,1.0,146.0,train
2707,116.4672,39.7733,112,141.0,1.0,62.0,22.0,1.3,194.0,train
2708,115.986,40.4563,112,119.0,3.0,17.0,115.0,1.1,138.0,train
2709,116.6151,40.3053,112,140.0,2.0,47.0,40.0,1.5,186.0,train
2710,116.2545,39.8768,112,128.0,3.0,59.0,17.0,1.4,184.0,train
2711,116.84,40.3844,112,118.0,5.0,32.0,52.0,1.0,148.0,train
2712,116.3621,39.8784,113,130.0,2.0,67.0,14.0,1.2,167.0,train
2713,116.2202,40.2915,113,114.0,3.0,50.0,20.0,1.2,145.0,test
2714,116.4174,39.9289,113,143.0,2.0,66.0,10.0,1.4,151.0,train
2715,116.4072,39.8863,113,132.0,1.0,82.0,5.0,1.6,177.0,train
2716,116.462,39.9365,113,118.0,1.0,58.0,11.0,1.2,169.0,train
2717,116.3392,39.9295,113,134.0,3.0,63.0,7.0,1.3,174.0,train
2718,116.2878,39.9611,113,105.0,1.0,63.0,8.0,1.0,141.0,train
2719,116.6636,40.135,113,160.0,2.0,69.0,12.0,1.7,189.0,train
2720,116.6275,40.3275,113,120.0,3.0,39.0,49.0,1.2,173.0,train
2721,116.2296,40.217,113,113.0,3.0,57.0,12.0,1.2,173.0,train
2722,116.3966,39.9821,113,123.0,3.0,56.0,19.0,1.1,186.0,train
2724,115.9718,40.4529,113,118.0,1.0,15.0,109.0,0.9,152.0,train
2725,117.0709,40.1465,113,141.0,2.0,46.0,38.0,2.1,194.0,train
2726,116.8336,40.4095,113,121.0,3.0,29.0,56.0,1.0,167.0,train
2727,116.088,39.9726,113,101.0,3.0,47.0,17.0,1.0,153.0,test
2728,116.1541,39.8204,113,120.0,3.0,64.0,8.0,1.2,152.0,train
2729,116.6804,39.9081,113,141.0,1.0,54.0,23.0,1.3,196.0,train
2730,115.9577,39.7603,113,108.0,3.0,67.0,19.0,1.0,146.0,train
2731,116.4672,39.7733,113,140.0,1.0,60.0,16.0,1.3,189.0,train
2732,115.986,40.4563,113,117.0,3.0,17.0,112.0,1.1,140.0,train
2733,116.6151,40.3053,113,132.0,2.0,44.0,38.0,1.5,185.0,test
2734,116.2545,39.8768,113,123.0,3.0,66.0,9.0,1.4,175.0,train
2735,116.84,40.3844,113,121.0,4.0,39.0,42.0,1.0,152.0,train
2736,116.3621,39.8784,114,135.0,1.0,71.0,4.0,1.2,164.0,train
2737,116.2202,40.2915,114,125.0,3.0,53.0,13.0,1.3,149.0,test
2738,116.4174,39.9289,114,139.0,2.0,70.0,4.0,1.4,150.0,train
2739,116.4072,39.8863,114,130.0,1.0,79.0,1.0,1.5,167.0,train
2740,116.462,39.9365,114,123.0,1.0,63.0,2.0,1.3,170.0,train
2742,116.2878,39.9611,114,102.0,1.0,67.0,5.0,1.0,145.0,train
2743,116.6636,40.135,114,170.0,2.0,76.0,2.0,1.6,185.0,train
2744,116.6275,40.3275,114,117.0,3.0,46.0,35.0,1.3,171.0,train
2745,116.2296,40.217,114,125.0,3.0,66.0,3.0,1.3,177.0,train
2746,116.3966,39.9821,114,112.0,3.0,53.0,15.0,1.0,184.0,test
2747,116.184,39.9136,114,105.0,3.0,69.0,1.0,1.2,151.0,train
2748,115.9718,40.4529,114,122.0,3.0,19.0,102.0,0.9,157.0,train
2749,117.0709,40.1465,114,143.0,1.0,63.0,7.0,2.2,193.0,test
2750,116.8336,40.4095,114,156.0,3.0,41.0,35.0,1.0,177.0,train
2751,116.088,39.9726,114,101.0,3.0,47.0,20.0,1.1,164.0,test
2753,116.6804,39.9081,114,153.0,1.0,69.0,7.0,1.4,193.0,test
2754,115.9577,39.7603,114,114.0,3.0,68.0,14.0,1.0,155.0,train
2755,116.4672,39.7733,114,133.0,1.0,61.0,8.0,1.3,189.0,train
2756,115.986,40.4563,114,123.0,3.0,19.0,106.0,1.1,145.0,train
2757,116.6151,40.3053,114,130.0,2.0,44.0,26.0,1.5,192.0,train
2758,116.2545,39.8768,114,114.0,3.0,71.0,2.0,1.3,176.0,train
2759,116.84,40.3844,114,133.0,4.0,56.0,22.0,1.2,164.0,train
2760,116.3621,39.8784,115,133.0,1.0,69.0,1.0,1.2,161.0,test
2761,116.2202,40.2915,115,129.0,1.0,55.0,9.0,1.3,160.0,train
2762,116.4174,39.9289,115,139.0,2.0,73.0,1.0,1.6,153.0,train
2766,116.2878,39.9611,115,111.0,1.0,63.0,5.0,1.0,149.0,train
2767,116.6636,40.135,115,165.0,2.0,72.0,2.0,1.6,185.0,train
2768,116.6275,40.3275,115,127.0,3.0,42.0,32.0,1.3,170.0,test
2769,116.2296,40.217,115,142.0,3.0,66.0,3.0,1.3,181.0,train
2770,116.3966,39.9821,115,118.0,3.0,59.0,9.0,1.1,181.0,train
2772,115.9718,40.4529,115,124.0,3.0,18.0,101.0,0.9,152.0,train
2773,117.0709,40.1465,115,149.0,1.0,54.0,2.0,2.2,184.0,train
2774,116.8336,40.4095,115,159.0,3.0,45.0,18.0,1.1,169.0,train
2775,116.088,39.9726,115,116.0,3.0,46.0,17.0,1.1,174.0,test
2778,115.9577,39.7603,115,135.0,3.0,69.0,12.0,1.1,167.0,train
2779,116.4672,39.7733,115,144.0,1.0,67.0,2.0,1.4,181.0,train
2780,115.986,40.4563,115,123.0,3.0,16.0,109.0,1.0,144.0,train
2781,116.6151,40.3053,115,141.0,2.0,50.0,20.0,1.7,211.0,train
2782,116.2545,39.8768,115,135.0,3.0,72.0,3.0,1.4,194.0,train
2783,116.84,40.3844,115,146.0,5.0,59.0,14.0,1.3,170.0,train
2785,116.2202,40.2915,116,121.0,1.0,49.0,4.0,1.3,161.0,train
2786,116.4174,39.9289,116,137.0,2.0,77.0,1.0,1.7,157.0,train
2788,116.462,39.9365,116,116.0,1.0,65.0,1.0,1.5,166.0,train
2790,116.2878,39.9611,116,111.0,1.0,61.0,3.0,1.1,152.0,train
2791,116.6636,40.135,116,170.0,2.0,73.0,2.0,1.7,181.0,train
2792,116.6275,40.3275,116,127.0,3.0,49.0,21.0,1.4,176.0,train
2793,116.2296,40.217,116,149.0,3.0,69.0,5.0,1.4,191.0,train
2794,116.3966,39.9821,116,102.0,3.0,68.0,6.0,1.2,172.0,test
2796,115.9718,40.4529,116,121.0,3.0,19.0,91.0,1.0,142.0,test
2797,117.0709,40.1465,116,146.0,1.0,48.0,1.0,2.3,170.0,train
2798,116.8336,40.4095,116,195.0,1.0,74.0,2.0,1.3,185.0,train
2799,116.088,39.9726,116,114.0,1.0,54.0,2.0,1.3,171.0,train
2802,115.9577,39.7603,116,147.0,3.0,71.0,6.0,1.3,177.0,train
2803,116.4672,39.7733,116,139.0,1.0,68.0,2.0,1.5,187.0,train
2804,115.986,40.4563,116,125.0,3.0,14.0,113.0,1.0,144.0,train
2805,116.6151,40.3053,116,159.0,1.0,62.0,3.0,1.6,203.0,train
2806,116.2545,39.8768,116,135.0,3.0,67.0,4.0,1.4,198.0,train
